,q_year,q_status,cod_year,type_clean,mw1,region,ix_voltage,diff_months_ia,diff_months_cod,diff_months_wd
12005,2020.0,active,2023.0,Solar,128.0,PJM,138,,40.60863672765355,
12006,2020.0,withdrawn,2021.0,Solar,10.0,PJM,5,,18.49729973921436,1.8727283927801393
12007,2020.0,withdrawn,2021.0,Solar,14.0,PJM,5,,18.49729973921436,9.002238238978213
12008,2020.0,active,2021.0,Solar+Battery,5.0,PJM,5,,18.49729973921436,
12009,2020.0,active,2022.0,Solar,45.0,PJM,115,,30.48933242982402,
12010,2020.0,active,2023.0,Solar,56.0,PJM,138,,42.41565535226596,
12011,2020.0,active,2022.0,Solar,20.0,PJM,5,,29.40512125505657,
12012,2020.0,active,2022.0,Solar,12.0,PJM,23,,29.667960327727467,
12013,2020.0,withdrawn,2023.0,Solar,100.0,PJM,345,,41.1671697570792,13.766196431138216
12014,2020.0,withdrawn,2023.0,Solar,60.0,PJM,115,,41.52857348200168,15.178956446744285
12015,2020.0,operational,2021.0,Battery,0.5,PJM,0,,17.873056941620977,
12016,2020.0,active,2023.0,Solar+Battery,36.0,PJM,5,,40.97004045257603,
12017,2020.0,active,2023.0,Solar,100.0,PJM,138,,38.60448879853796,
12018,2020.0,active,2022.0,Solar,106.0,PJM,115,,28.485184500708435,
12019,2020.0,active,2021.0,Solar,0.0,PJM,138,,17.478798332614634,
12020,2020.0,active,2022.0,Battery,20.0,PJM,69,,23.42553235179367,
12021,2020.0,active,2022.0,Battery,20.0,PJM,69,,23.42553235179367,
12022,2020.0,active,2021.0,Battery,20.0,PJM,115,,14.456148996899321,
12023,2020.0,active,2022.0,Battery,20.0,PJM,230,,23.42553235179367,
12024,2020.0,active,2023.0,Solar,40.0,PJM,69,,33.31485246103616,
12025,2020.0,withdrawn,2023.0,Solar,54.0,PJM,138,,41.29858929341465,7.195219614365798
12026,2020.0,active,2023.0,Battery,20.0,PJM,230,,41.13431487299534,
12027,2020.0,withdrawn,2022.0,Solar,100.0,PJM,0,,20.140043943407463,0.13141953633544837
12028,2020.0,active,2023.0,Solar,100.0,PJM,138,,29.109427298301814,
12029,2020.0,active,2022.0,Wind,175.0,PJM,69,,22.045627220271463,
12030,2020.0,active,2021.0,Solar,109.0,PJM,69,,17.084539723608287,
12031,2020.0,active,2021.0,Solar,15.0,PJM,5,,8.279430789133247,
12032,2020.0,active,2024.0,Battery,2.5,PJM,8,,41.13431487299534,
12033,2020.0,active,2023.0,Battery,19.0,PJM,5,,40.050103698227886,
12034,2020.0,active,2023.0,Battery,19.0,PJM,5,,40.050103698227886,
12035,2020.0,active,2024.0,Solar,80.0,PJM,69,,50.10369822788969,
12036,2020.0,active,2023.0,Solar,38.0,PJM,69,,34.99045154931313,
12037,2020.0,withdrawn,2023.0,Solar,50.0,PJM,69,,34.99045154931313,14.160455040144562
12038,2020.0,withdrawn,2023.0,Battery,150.0,PJM,0,,29.07657241421795,1.8070186246124151
12039,2020.0,active,2024.0,Solar+Battery,45.0,PJM,69,,46.062547485574655,
12040,2020.0,active,2024.0,Solar+Battery,55.0,PJM,69,,46.062547485574655,
12041,2020.0,withdrawn,2023.0,Battery,50.0,PJM,138,,40.050103698227886,13.963325735641389
12042,2020.0,withdrawn,2022.0,Solar,20.0,PJM,115,,20.008624407072013,1.8070186246124151
12043,2020.0,withdrawn,2022.0,Solar,20.0,PJM,115,,20.008624407072013,1.8070186246124151
12044,2020.0,active,2024.0,Solar,150.0,PJM,115,,50.49795683689604,
12045,2020.0,active,2023.0,Solar,0.0,PJM,138,,40.93718556849217,
12046,2020.0,withdrawn,2022.0,Solar+Battery,,PJM,23,,21.979917452103738,13.700486662970492
12047,,withdrawn,2023.0,Solar+Battery,60.0,PJM,0,,,
12048,2020.0,withdrawn,2021.0,Solar,1.5,PJM,69,,15.047536910408837,12.09059734286125
12049,2020.0,active,2022.0,Solar,20.0,PJM,69,,28.74802357337933,
12050,2020.0,withdrawn,2021.0,Solar,20.0,PJM,5,,16.0331834329247,5.519620526088832
12051,2020.0,active,2021.0,Solar+Battery,20.0,PJM,5,,17.018829955440562,
12052,2020.0,active,2021.0,Solar+Battery,20.0,PJM,5,,17.018829955440562,
12053,2020.0,withdrawn,2021.0,Solar+Battery,18.0,PJM,5,,17.018829955440562,14.259019692396148
12054,2020.0,withdrawn,2021.0,Solar+Battery,18.0,PJM,0,,17.018829955440562,14.259019692396148
12055,2020.0,active,2020.0,Solar+Battery,18.0,PJM,23,,5.0267972648309,
12056,2020.0,active,2026.0,Offshore Wind,440.0,PJM,230,,75.00770036345716,
12057,2020.0,active,2021.0,Battery,0.0,PJM,69,,17.018829955440562,
12058,2020.0,active,2021.0,Battery,30.0,PJM,138,,17.018829955440562,
12059,2020.0,active,2023.0,Solar+Battery,100.0,PJM,115,,36.008952955912854,
12060,2020.0,active,2023.0,Solar,50.0,PJM,69,,34.95759666522927,
12061,2020.0,withdrawn,2023.0,Battery,0.0,PJM,69,,34.95759666522927,14.1276001560607
12062,2020.0,withdrawn,2023.0,Solar+Battery,120.0,PJM,115,,40.4772171913181,7.096654962114211
12063,2020.0,active,2021.0,Gas,35.0,PJM,230,,12.780549908622353,
12064,2020.0,active,2022.0,Solar,16.0,PJM,5,,25.528244933160845,
12065,2020.0,active,2023.0,Solar+Battery,55.0,PJM,69,,38.538779030370236,
12066,2020.0,active,2022.0,Solar,0.0,PJM,138,,25.42968028090926,
12067,2020.0,active,2024.0,Solar,107.0,PJM,230,,51.450748475328034,
12068,2020.0,active,2023.0,Solar+Battery,20.0,PJM,5,,32.36206082260416,
12069,2020.0,active,2022.0,Solar,20.0,PJM,5,,27.893796587198917,
12070,2020.0,active,2022.0,Solar,10.0,PJM,69,,21.35567465451036,
12071,2020.0,active,2022.0,Battery,19.0,PJM,5,,22.30846629294236,
12072,2020.0,active,2022.0,Battery,0.0,PJM,69,,22.177046756606913,
12073,2020.0,active,2024.0,Battery,300.0,PJM,230,,45.20832049939424,
12074,2020.0,active,2024.0,Solar,90.0,PJM,115,,51.15505451857328,
12075,2020.0,active,2024.0,Solar,50.0,PJM,230,,45.10975584714265,
12076,2020.0,active,2023.0,Solar,150.0,PJM,138,,39.984393930060165,
12077,2020.0,active,2023.0,Battery,25.0,PJM,230,,29.963654284482228,
12078,2020.0,active,2022.0,Battery,25.0,PJM,138,,17.971621593872563,
