,q_year,q_status,cod_year,type_clean,mw1,region,ix_voltage,diff_months_ia,diff_months_cod
4407,2008.0,withdrawn,2010.0,Wind,85.0,MISO,69,30.62075196615947,23.918355613051602
4408,2013.0,operational,2016.0,Wind,40.0,MISO,69,27.860941703115053,37.75026181235754
4409,2008.0,withdrawn,2011.0,Wind,200.0,MISO,115,1.379905131522208,42.41565535226596
4410,2008.0,withdrawn,2011.0,Wind,100.0,MISO,115,48.263824719193416,42.41565535226596
4411,2008.0,withdrawn,2009.0,Wind,48.0,MISO,69,48.263824719193416,18.431589971046634
4412,2008.0,withdrawn,2013.0,Wind,43.0,MISO,0,27.49953797819257,57.397482494507074
4413,2008.0,withdrawn,2011.0,Wind,74.0,MISO,138,16.95312018727284,42.3828004681821
4414,2008.0,withdrawn,2011.0,Wind,250.0,MISO,161,34.431918519887475,42.349945584098236
4415,2008.0,operational,2011.0,Wind,121.0,MISO,161,24.805437483315878,40.34579765498265
4416,2008.0,withdrawn,2011.0,Wind,200.0,MISO,138,5.289636337501797,30.29220312532085
4417,2008.0,withdrawn,2010.0,Wind,200.0,MISO,161,3.6468921333086923,30.226493357153124
4418,2008.0,operational,2017.0,Wind,201.0,MISO,345,77.37325201749523,110.26099098544118
4419,2008.0,withdrawn,2010.0,Wind,500.0,MISO,345,34.10336967904885,28.058071007618228
4420,2008.0,withdrawn,2015.0,Wind,200.0,MISO,345,48.65808332819976,89.03673586726627
4421,2008.0,withdrawn,2010.0,Wind,200.0,MISO,230,34.004805026797264,29.930799400398364
4422,2008.0,withdrawn,2013.0,Wind,200.0,MISO,161,49.676584734799484,64.95410583379535
4423,2008.0,withdrawn,2012.0,Wind,299.0,MISO,0,47.77100145793548,52.76494383868252
4424,2008.0,withdrawn,2012.0,Wind,300.0,MISO,345,18.168750898375738,52.73208895459866
4425,2008.0,withdrawn,2010.0,Wind,150.0,MISO,230,24.904002135567467,29.53654079139202
4426,2008.0,withdrawn,2011.0,Wind,200.0,MISO,161,4.566828887656831,41.52857348200168
4427,2008.0,withdrawn,2010.0,Wind,60.0,MISO,138,18.431589971046634,29.503685907308157
4428,2008.0,withdrawn,2011.0,Wind,101.0,MISO,138,3.4826177128893816,35.22043573790016
4429,2008.0,operational,2011.0,Gas,60.0,MISO,0,25.232550976406085,30.752171502494917
4430,2008.0,operational,2011.0,Other,5.0,MISO,69,28.2552003121214,39.55728043696996
4431,2008.0,operational,2014.0,Wind,99.0,MISO,138,29.24084683463726,77.11041294482433
4432,2008.0,withdrawn,2010.0,Wind,550.0,MISO,230,32.95344873611368,21.881352799852152
4433,2009.0,operational,2012.0,Wind,50.0,MISO,161,72.77356824575453,43.10560791802706
